Track Name,Track ID,Artists,Artist Count,Track_Name
A Bar Song (Tipsy),2FQrifJ1N335Ljm3TjTVVf,shaboozey,1,a bar song tipsy
Since U Been Gone,3xrn9i8zhNZsTtcoWgQEAd,kelly clarkson,1,since u been gone
Deep in love,6QKajuIu0mBuiUZGII9BKn,dfl checo,1,deep in love
Heat Waves,3USxtqRwSYz57Ewm6wWRMp,glass animals,1,heat waves
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,miley cyrus,1,we cant stop
Gangnam Style (강남스타일),03UrZgTINDqvnUMbbIMhql,psy,1,gangnam style 강남스타일
Beautiful,3TCauNPqFiniaYHBvEVoHG,christina aguilera,1,beautiful
Broken Boi Boi,4QPSbhqdI31jlL1hHI1imw,flight,1,broken boi boi
Paparazzi,02XnQdf7sipaKBBHixz3Zp,lady gaga,1,paparazzi
Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,red hot chili peppers,1,snow hey oh
Rude,18n3RlT0UNcy2yHImHy8IT,magic!,1,rude
IM REALLY HERE,0x31rx6nhNEPRgJajx5dbO,4ourty8,1,im really here
Radioactive,62yJjFtgkhUrXktIoSjgP2,imagine dragons,1,radioactive
All About That Bass,5jE48hhRu8E6zBDPRSkEq7,meghan trainor,1,all about that bass
Daylight,1odExI7RdWc4BT515LTAwj,david kushner,1,daylight
America's Most Wanted,3xznQWxVj9bRAYAO5M4FT5,gabi sklar,1,americas most wanted
Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,portugal. the man,1,feel it still
One Dance,1zi7xx7UVEFkmKfv06H8x0,drake,3,one dance
One Dance,1zi7xx7UVEFkmKfv06H8x0,wizkid,3,one dance
One Dance,1zi7xx7UVEFkmKfv06H8x0,kyla,3,one dance
Teenage Dream,6b4IqYnduSQl3fE5YIbYVs,katy perry,1,teenage dream
pulluh.,3a7D2kFenQmIrLDZv91LUZ,voodoobaby,1,pulluh
Whistle,3bC1ahPIYt1btJzSSEyyrF,flo rida,1,whistle
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc,justin timberlake,1,cant stop the feeling from dreamworks animations trolls
Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,shawn mendes,1,treat you better
Slizzy Flow,4bb24qJy1jwBwvHCe6bOyA,lougotcash,3,slizzy flow
Slizzy Flow,4bb24qJy1jwBwvHCe6bOyA,cash cobain,3,slizzy flow
Slizzy Flow,4bb24qJy1jwBwvHCe6bOyA,bay swag,3,slizzy flow
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,beyoncé,2,crazy in love feat jayz
Crazy In Love (feat. Jay-Z),5IVuqXILoxVWvWEPm82Jxr,jay-z,2,crazy in love feat jayz
The One That Got Away,2k3MdyqMHmfZubFg3pmtby,katy perry,1,the one that got away
Big Girls Don't Cry (Personal),0lupJBVy4UQrvI4Oy3PvI7,fergie,1,big girls dont cry personal
All I See Is You,6uAEuFWeNJNjRFEC2ECduz,milky sad,1,all i see is you
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,taylor swift,1,cruel summer
Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,mark ronson,2,uptown funk feat bruno mars
Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS,bruno mars,2,uptown funk feat bruno mars
Selfish,0QosomGFiJYOxj2ViZfqng,justin timberlake,1,selfish
Breathe,6xyKeaC0Y3lbsYe3WF1gOa,josh x,1,breathe
Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,taylor swift,1,blank space
Hollaback Girl,0LzrhCZFXW94Y8nwtTuRlw,gwen stefani,1,hollaback girl
