Track Name,Track ID,Artists,Artist Count
Torn,6SpVp6ttad3XJOsjKBZwaq,ava max,1
Not Your Barbie Girl,4fkM7M4Uo5AUASnnsRC7EZ,ava max,1
Break Up Song,5HArmECc1y0lCHKVKDKXa4,little mix,1
Potential Breakup Song,11dxtPJKR4E0wlSr0A0t47,aly & aj,1
The Sweet Escape,5BHtT1xpC44pGy1J7RKY4T,"gwen stefani, akon",2
Woman,6Uj1ctrBOjOas8xZXGqKk4,doja cat,1
motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,"ariana grande, doja cat",2
Million Dollar Bill,78Liq9m8u6xjuamJIeznTd,whitney houston,1
Pretty Girls,6QicTxeiSaRkPnkGDUvYOs,"britney spears, iggy azalea",2
Naughty Girl,0YGQ3hZcRLC5YX7o0hdmHg,beyoncé,1
The Man,3RauEVgRgj1IuWdJ9fDs70,taylor swift,1
just like magic,7Dx9Z6Aon1qPS2N0rHSWTe,ariana grande,1
Mr. Saxobeat,4ycxTFeO4ZADJwJZaMGMYb,alexandra stan,1
Baby,6epn3r7S14KUqlReYr77hA,"justin bieber, ludacris",2
Toxic,6I9VzXrHxO9rA9A5euc8Ak,britney spears,1
Who I Am,1o8kO8YyMWRAeb9bE2AIxO,anne-marie,1
BREAK MY SOUL,2KukL7UlQ8TdvpaA7bY3ZJ,beyoncé,1
Can't Do Better,7t9gDWqX10tbhtriPR1Cnd,kim petras,1
We Are Never Ever Getting Back Together (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs,taylor swift,1
DESPECHÁ,5ildQOEKmJuWGl2vRkFdYc,rosalía,1
Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,"lady gaga, ariana grande",2
Bejeweled,0jvo9CjnbR0lYUDTSNTMiu,taylor swift,1
Kill Bill,3OHfY25tqY28d16oZczHc8,sza,1
The Edge Of Glory,57F80059mWaWFvWG3tBTbO,lady gaga,1
Flowers,7DSAEUvxU8FajXtRloy8M0,miley cyrus,1
Million Dollar Baby,3wFM8TWbbkwPuB6TyqpVDv,ava max,1
CUFF IT,1xzi1Jcr7mEi9K2RfzLOqS,beyoncé,1
What Dreams Are Made Of,7J1S5n6Kn4wZEu6xrBT0gk,hilary duff,1
Nonsense,6dgUya35uo964z7GZXM07g,sabrina carpenter,1
I Wish You Would (Taylor's Version),43y1WpBdnEy5TR9aZoSQL9,taylor swift,1
On My Mind,5a7NdkF09AfD0H607eiOkX,ellie goulding,1
If We Ever Broke Up,6maTPqynTmrkWIralgGaoP,mae stephens,1
Barbie World (with Aqua) [From Barbie The Album],741UUVE2kuITl0c6zuqqbO,"nicki minaj, ice spice, aqua",3
Angel (From Barbie The Album),0CpfO9VNiW0OGIaZO6zO3n,pinkpantheress,1
What It Is (Solo Version),73RbfOTJIjHzi2pcVHjeHM,doechii,1
Raining Men,1gCWLA71vXQmINwo6WxH4t,"rihanna, nicki minaj",2
"Girl, so confusing featuring lorde",2YFhqZvhTpyK13gKXMKV7R,"charli xcx, lorde",2
Speed Drive (From Barbie The Album),5VxmI3IdgAxWVvUnJoLuY2,charli xcx,1
Barbie Dreams (feat. Kaliii) [From Barbie The Album],7njDhlprmHJ1I9pM0rxMON,"fifty fifty, kaliii",2
2 die 4 (feat. Charli XCX),7lvfYYQXH6fxP7JAiY1tjz,"addison rae, charli xcx",2
Shake It Off (Taylor's Version),3pv7Q5v2dpdefwdWIvE7yH,taylor swift,1
Training Season,6Qb7YsAqH4wWFUMbGsCpap,dua lipa,1
get him back!,2gyxAWHebV7xPYVxqoi86f,olivia rodrigo,1
Just A Girl,5lWRaa0fBxDE5yU91npPq7,no doubt,1
Made In The USA,4A4jWRGo7pRJ8hPLC9xVoG,demi lovato,1
Love On Top,1z6WtY7X4HQJvzxC4UgkSf,beyoncé,1
Give Your Heart a Break,3sP3c86WFjOzHHnbhhZcLA,demi lovato,1
Circus,7jk7gqyEonmVVYahZN5zhW,britney spears,1
Into You,76FZM38RC8XaAjJ77CVTNe,ariana grande,1
successful,5YeHLHDdQ4nKHk81XFWhCU,ariana grande,1
the light is coming (feat. Nicki Minaj),0sdbFOyfgAhAhWq8DpzkaW,"ariana grande, nicki minaj",2
Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,rihanna,1
Show Me Love - Radio Version,6SluaPiV04KOaRTOIScoff,robyn,1
Unwritten,3U5JVgI2x4rDyHGObzJfNf,natasha bedingfield,1
Can't Fight The Moonlight,10FP9hm2aFfAIKEopqaG9D,leann rimes,1
I Think I'm in Love with You,4jIgNRzwUAQCctDDM3Kxd4,jessica simpson,1
Ready or Not,5xvUgoVED1F4mBu8FL0HaW,bridgit mendler,1
TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,kesha,1
