Track Name,Track ID,Artists,Artist Count
letter to the ville,16sKg4HXuwnu9kT7KMdNRO,pfg,1
something just like this,6RUKPb4LETWmmr3iAEQktW,the chainsmokers,2
something just like this,6RUKPb4LETWmmr3iAEQktW,coldplay,2
attention,11xC6P3iKYpFThT6Ce1KdG,doja cat,1
misery business,3l9CW99AHtExIRV4hW2N5m,paramore,1
neon hong kong,4uRxSAu5i1o0v65aBGMQz6,riff raff,3
neon hong kong,4uRxSAu5i1o0v65aBGMQz6,ku$h drifter,3
neon hong kong,4uRxSAu5i1o0v65aBGMQz6,yng bnzo,3
new rules,4LihUZcWy0B6lGLqcJ8u9B,dua lipa,1
just the way you are,47Slg6LuqLaX0VodpSCvPt,bruno mars,1
obsessed,6tNgRQ0K2NYZ0Rb9l9DzL8,olivia rodrigo,1
please please please,1KE8CYkUEbVbCdEyO1nIfU,sabrina carpenter,1
abracadabra,2jlrTEi9bJfNgDhAmbYDiE,yellacatt,1
survivor,5sN8MGWR2pu2Rn3oAOPYXt,destiny's child,1
youre beautiful,0vg4WnUWvze6pBOJDTq99k,james blunt,1
sos,30cSNer6TV8x2utjULVeQ5,rihanna,1
19,4dcIFhtq7Lr6cukZKHpdzX,sunny daze,2
19,4dcIFhtq7Lr6cukZKHpdzX,taylor hill,2
domino,2fQxE0jVrjNMT9oJAXtSJR,jessie j,1
umbrella,5i66xrvSh1MjjyDd6zcwgj,rihanna,2
umbrella,5i66xrvSh1MjjyDd6zcwgj,jay-z,2
cool for the summer,2zFF6jG5hQArbzcXz3KUWk,demi lovato,1
we made it,2i8jxd3ShcCGazjmZ527Zh,yung xavi,2
we made it,2i8jxd3ShcCGazjmZ527Zh,juno!,2
golden hour,5odlY52u43F5BjByhxg7wg,jvke,1
baby,6epn3r7S14KUqlReYr77hA,justin bieber,2
baby,6epn3r7S14KUqlReYr77hA,ludacris,2
strawberry soda,27RAfEoM7qX8vjNdctZXD4,justina valentine,1
everytime we touch  radio edit,5YJtMNWKe55yr49cyJgxva,cascada,1
love the way you lie,15JINEqzVMv3SvJTAXAKED,eminem,2
love the way you lie,15JINEqzVMv3SvJTAXAKED,rihanna,2
san diego,75A8hKaLCXb8ISPg7DBcOJ,reyn hartley,1
she will be loved,4llK75pXNWZz6KAho2Gp16,maroon 5,1
sexy and i know it,2EZ2KXLqs9zdRVVMMz1IsH,lmfao,1
summersalt thru the sunroof  chopped not slopped,4DarFONlUNB9Y9Zz4DV7kZ,riff raff,1
hey ya,3AszgPDZd9q0DpDFt4HFBy,outkast,1
till the world ends,38iU2jg98IZZEIJPrP7aWD,britney spears,1
pompeii,4Ub8UsjWuewQrPhuepfVpd,bastille,1
